[検索条件]連絡先の有無：お問い合わせページあり.業界：小売業界の会社・自社型eコマース業界の会社・モール型eコマース業界の会社.地域：東京都
会社名,会社名ひらがな,代表者名,会社サイト,お問い合わせページ,法人番号,設立年月,役員情報,上場種別,資本金,売上高,事業所数,従業員数,工場数,店舗数,決算月,一言説明,メイン大業界,メイン小業界,サブ大業界,サブ小業界,事業内容キーワード,特徴,マッチ度,本社住所,本社郵便番号,本社住所（都道府県のみ）,本社住所（都道府県除く）,本社電話番号,本社FAX番号,本社メールアドレス,採用メールアドレス
株式会社大塚商会,おおつかしょうかい,大塚裕司,http://www.otsuka-shokai.co.jp/,https://www.otsuka-shokai.co.jp/contact/,1010001012983,1961年12月,"羽田悦朗[監査役],  若槻哲太郎[監査役],  仲井一彦[監査役],  薬袋直人[常勤監査役],  齋藤哲男[取締役],  牧野二郎[取締役],  若松康博[取締役],  田中修[取締役兼上席執行役員/LA事業部長、LA事業部広域グループ長],  広瀬光哉[取締役兼上席執行役員/業種SI部門長、業種SIプロモーション部長],  藤野卓雄[取締役兼常務執行役員/営業部広域支店担当],  森谷紀彦[取締役兼常務執行役員/経営管理本部長、人材開発部長、ホテル事業部担当],  桜井実[取締役兼常務執行役員/技術本部長、APソリューション部門長、TCソリューション部門長],  矢野克尚[取締役兼常務執行役員/エリア部門長、POD推進部長、エリアプロモーション部担当、通信ネットワークプロモーション部長],  鶴見裕信[取締役兼上席常務執行役員/CAD部門長、CADプロモーション部長],  齋藤廣伸[取締役兼上席常務執行役員/プロジェクト推進室担当、監査室担当、マーケティングオートメーションセンター担当、お客様マイページプロモーションセンター担当],  髙橋俊泰[取締役兼上席専務執行役員/たのめーる事業部長、たのめーるインフォメーション部長、たのめーるマーケティング部長、マーケティングオートメーションセンター担当、お客様マイページプロモーションセンター担当],  片倉一幸[取締役兼上席専務執行役員/営業本部長、マーケティング副本部長],  大塚裕司[代表取締役社長/マーケティング本部長], ",東証１部,10374851000,684912000000,11,7145,-,-,12月,情報システムの構築・稼働ならびに稼働後のサポートを手掛ける会社,IT業界の会社,システム開発業界の会社,IT業界の会社・エンタメ業界の会社・生活用品業界の会社・小売業界の会社・コンサルティング業界の会社・電気製品業界の会社,システム受託開発業界の会社・ホテル・旅館業界の会社・日用品・雑貨販売業界の会社・オフィス用品・オフィス家具業界の会社・自社型eコマース業界の会社・ITコンサルティング業界の会社 ・家電業界の会社,LED照明設備工事・家電販売・文房具販売・事務用品販売・サーバー運用・オフィス用品・事務用品販売・介護用品販売・日用品販売・照明設備工事・通信販売・システム導入支援,BtoC　BtoB,未計算,東京都千代田区飯田橋２丁目１８番４号,102-0072,東京都,千代田区飯田橋２丁目１８番４号,03-3264-7111,-,-,otsuka@disc.co.jp
ギャップジャパン株式会社,ぎゃっぷじゃぱん,マシュー・コリン,http://www.gapjp.com/content/gapjp/home.html,https://i.gap.co.jp/pc/index.php?cmd=MCNT010000PC&lpc=3i5,1011001006372,1994年12月,-,未上場,-,-,1,6600,-,197,-,ファストファッションブランド「GAP」を日本で運営する会社,アパレル・美容業界の会社,メンズアパレルメーカー業界の会社,小売業界の会社,自社型eコマース業界の会社・レディースアパレルショップ業界の会社,カジュアルウェア販売,BtoC,未計算,東京都渋谷区千駄ヶ谷５丁目３２番１０号,151-0051,東京都,渋谷区千駄ヶ谷５丁目３２番１０号,03-5369-5300,03-5269-5342,-,-
株式会社ライフコーポレーション,らいふこーぽれーしょん,岩崎高治,http://www.lifecorp.jp,https://www.contact.lifecorp.jp/pc/enquete/life_form01/,9010001060208,1956年10月,-,未上場,10004000000,677746000000,1,6024,10,270,2月,スーパーマーケットチェーン「ライフ」の運営を手掛ける会社,小売業界の会社,スーパー業界の会社,小売業界の会社,自社型eコマース業界の会社,惣菜販売・惣菜製造・パン屋運営,BtoC,未計算,東京都中央区日本橋本町３丁目６番２号,103-0023,東京都,中央区日本橋本町３丁目６番２号,03-5807-5111,-,-,shutoken.saiyou@lifecorp.co.jp
株式会社伊藤園,いとうえん,本庄大介,http://www.itoen.co.jp,https://www.itoen.co.jp/inquiry_form/form.html,3011001002279,1966年8月,"長澤正浩[監査役],  田中豊[監査役],  高澤嘉昭[監査役],  髙橋實[監査役常勤],  田口守一[取締役],  内木弘一[取締役],  吉田秀樹[取締役/中部地域営業本部長],  石坂健一郎[取締役/特販営業本部長],  中込修二[取締役/物流本部本部長代行],  相馬藤嗣[取締役/北関東・東関東地域営業本部長],  波岡修[取締役/マーケティング本部副本部長],  YosukeJayOceanbrightHonjo[取締役],  神谷茂[常務取締役/広域量販店営業本部長],  中野悦久[常務取締役/広域CVS営業本部長],  金山正巳[常務取締役/東京地域営業本部、南関東地域営業本部担当],  小林義雄[専務取締役/地域営業統括本部副本部長兼中部地域営業本部、関西地域営業本部担当],  社三雄[専務取締役/マーケティング本部長],  渡辺實[取締役副社長/管理本部担当兼国際本部長],  橋本俊治[取締役副社長/生産本部担当兼物流本部長],  江島祥仁[取締役副会長/営業部門管掌、内部統制、コンプライアンス、CSR担当],  本庄周介[取締役副社長代表取締役/地域営業統括本部長兼広域量販店営業本部、広域CVS営業本部、T2020推進部担当],  本庄大介[取締役社長代表取締役],  本庄八郎[取締役会長代表取締役], ",東証１部,19912300000,394495000000,201,5409,6,-,4月,「お～いお茶」をはじめとする日本茶や、紅茶、コーヒー飲料、ミネラルウォーターなどの飲料製品や茶葉の企画・開発・仕入販売を行う会社,食品業界の会社,飲料製造業界の会社,小売業界の会社・食品業界の会社,自社型eコマース業界の会社・健康食品業界の会社,お茶飲料卸売・清涼飲料水販売・紅茶製造・茶葉卸売・清涼飲料水製造・清涼飲料水卸売・緑茶製造・紅茶販売・サプリメント製造・茶葉製造・茶葉販売・お茶飲料製造・緑茶販売・紅茶卸売・緑茶卸売・サプリメント販売・お茶飲料販売,BtoC　BtoB,未計算,東京都渋谷区本町３丁目４７番１０号,151-0071,東京都,渋谷区本町３丁目４７番１０号,03-5371-7111,-,-,kyujin@itoen.co.jp
国分グループ本社株式会社,こくぶ,國分勘兵衛,http://www.kokubu.co.jp/,http://www.kokubu.co.jp/contact/,9010001043063,1947年11月,-,未上場,3500000000,1885767000000,1,5257,-,-,-,食品の卸売やECサイトの運営および「缶つま」などの製造を行う会社,商社業界の会社,その他食品専門商社業界の会社,小売業界の会社・商社業界の会社・食品業界の会社,自社型eコマース業界の会社・水産物食品専門商社業界の会社・農産物食品専門商社業界の会社・酒・ワイン業界の会社・その他菓子業界の会社・缶詰・レトルト・冷凍食品製造業界の会社,缶詰食品製造・缶詰食品卸売・その他菓子卸売・食品用容器卸売・ワイン卸売・食品輸送・水産物卸売・マーケティング支援・ウイスキー製造・漬物製造・惣菜卸売・菓子製造・ワイン製造・焼酎卸売・日本酒卸売・農産物卸売・輸入食品卸売・ギフト・贈答品製造,BtoB,未計算,東京都中央区日本橋１丁目１番１号,103-0027,東京都,中央区日本橋１丁目１番１号,03-3276-4000,-,-,-
株式会社ロフト,ろふと,安藤公基,http://www.loft.co.jp/,http://www.loft.co.jp/contact/contact_question.php,5011001027621,1996年8月,-,未上場,750000000,115100000000,1,5107,-,100,2月,雑貨販売店「LOFT」の運営を行っている会社,小売業界の会社,雑貨販売業界の会社,小売業界の会社,自社型eコマース業界の会社,生活雑貨販売・雑貨店運営・生活用品販売・化粧品販売・キャラクター製品販売・腕時計販売・テープ（文房具）販売・かばん・バッグ販売・文房具販売・手帳販売,BtoC,未計算,東京都渋谷区宇田川町１８番２号,150-0042,東京都,渋谷区宇田川町１８番２号,03-5210-6210,-,-,-
株式会社ラムラ,らむら,村川明,http://www.ramla.net/index.html,http://www.ramla.net/customer.cgi,9010001060257,1982年5月,-,未上場,96990000,25470000000,1,4740,-,157,-,居酒屋「土風炉」「日本橋亭」などを運営する会社,外食業界の会社,居酒屋・バー業界の会社,外食業界の会社・小売業界の会社,和食・大衆料理業界の会社・洋食・西洋料理業界の会社・肉料理店業界の会社・自社型eコマース業界の会社・食品店業界の会社・アジア・エスニック料理業界の会社,惣菜販売・調味料販売・惣菜製造・韓国料理店運営・中華料理店運営・焼肉店運営,BtoC,未計算,東京都中央区日本橋大伝馬町１０番８号,103-0011,東京都,中央区日本橋大伝馬町１０番８号,03-3661-3662,03-3661-3663,-,saiyo@ramla.co.jp
株式会社マルエツ,まるえつ,古瀬良多,http://www.maruetsu.co.jp/,https://www.maruetsu.co.jp/index.php/form/inquiry,8013301012770,1952年6月,-,未上場,100000000,374910000000,1,4266,-,300,2月,スーパーマーケット「マルエツ」を運営する会社,小売業界の会社,スーパーマーケット業界の会社,生活用品業界の会社・小売業界の会社,日用品・雑貨販売業界の会社・自社型eコマース業界の会社,移動販売・日用品販売・生鮮食品販売,BtoC,未計算,東京都豊島区東池袋５丁目５１番１２号,170-0013,東京都,豊島区東池袋５丁目５１番１２号,03-3590-1110,-,info@maruetsu.co.jp,m-saiyou@maruetsu.co.jp
株式会社ユナイテッドアローズ,ゆないてっどあろーず,竹田光広,http://www.united-arrows.co.jp/,http://faq.united-arrows.co.jp/?site_domain=default,1011001028441,1989年10月,"西川英彦[取締役監査等委員],  石綿学[取締役監査等委員],  酒井由香里[取締役監査等委員(常勤)],  木村竜哉[取締役常務執行役員/第二事業本部本部長],  松崎義則[取締役常務執行役員/第一事業本部本部長],  東浩之[取締役常務執行役員/戦略・人事担当],  小泉正己[取締役専務執行役員/財務・IR・コンプライアンス担当],  藤澤光徳[取締役専務執行役員/事業インフラ本部担当],  竹田光広[取締役社長執行役員(代表取締役)], ",東証１部,3030000000,131476000000,2,3924,-,237,3月,「UNITED ARROWS」「Odette e Odile」などのブランドの紳士服・婦人服および雑貨の販売を行う会社,アパレル・美容業界の会社,レディースアパレルメーカー業界の会社,アパレル・美容業界の会社・小売業界の会社・生活用品業界の会社,キッズアパレルメーカー業界の会社・メンズアパレルショップ業界の会社・レディースアパレルショップ業界の会社・玩具業界の会社・日用品・雑貨販売業界の会社・家具販売業界の会社・キッズアパレルショップ業界の会社・自社型eコマース業界の会社・メンズアパレルメーカー業界の会社・パソコン・スマホ周辺機器販売業界の会社,玩具販売・靴用品販売・文房具販売・手袋販売・スマホ周辺機器・スマホアクセサリー販売・アウトドア用品販売・食器販売・ニット製品販売・化粧品販売・サンダル卸売・アクセサリー販売・照明機器販売・帽子販売・アパレル製品企画・開発・雨具（傘・カッパ・雨靴等）販売・ネイル用品・ネイル製品販売・インテリア雑貨販売・マフラー・ストール販売・財布販売・生活雑貨販売・サングラス販売・かばん・バッグ販売・靴販売・時計販売・シャツ販売,BtoC　BtoB,未計算,東京都渋谷区神宮前３丁目２８番１号,150-0001,東京都,渋谷区神宮前３丁目２８番１号,03-5785-6325,-,-,-
株式会社コーセー,こーせー,小林一俊,http://www.kose.co.jp/,https://www.kose.co.jp/company/ja/inquiry/procurement/,7010001043552,1948年6月,"岩渕信夫[監査役],  村上實[監査役],  鈴木一弘[常勤監査役],  川合浩[常勤監査役],  戸井川岩夫[取締役],  外尾秀人[取締役],  小林勇介[取締役],  小林正典[取締役],  澁澤宏一[取締役],  荒金久美[取締役],  熊田篤男[常務取締役],  長濱清人[常務取締役],  内藤昇[常務取締役],  花形和昌[常務取締役],  小林孝雄[専務取締役],  小林一俊[取締役社長(代表取締役)], ",東証１部,4848000000,155244000000,2,3878,4,-,3月,「雪肌精」「ESPRIQUE」などのスキンケア商品や化粧品の製造および販売を行う会社,アパレル・美容業界の会社,化粧品製造業界の会社,小売業界の会社,自社型eコマース業界の会社・化粧品販売業界の会社,シャンプー販売・メイクブラシ・化粧筆製造・入浴剤卸売・化粧品開発・スキンケア用品販売・シャンプー製造・ヘアケア用品製造・スキンケア用品製造・ヘアケア用品販売・化粧品卸売・メイクブラシ・化粧筆卸売・スキンケア用品開発・シャンプー卸売・スキンケア用品卸売・入浴剤製造・メイクブラシ・化粧筆販売・入浴剤販売・ヘアケア用品卸売,BtoB　BtoC,未計算,東京都中央区日本橋３丁目６番２号,103-0027,東京都,中央区日本橋３丁目６番２号,03-3273-1511,-,-,k-saiyo@kose.co.jp
