[検索条件]売上高：300000000~1000000000・1000000000~5000000000・5000000000~30000000000.従業員数：50~300.設立年数：31~50・51~100・101~.業態：BtoB.地域：東京都
会社名,会社名ひらがな,代表者名,会社サイト,お問い合わせページ,法人番号,設立年月,役員情報,上場種別,資本金,売上高,事業所数,従業員数,工場数,店舗数,決算月,一言説明,メイン大業界,メイン小業界,サブ大業界,サブ小業界,事業内容キーワード,特徴,マッチ度,本社住所,本社郵便番号,本社住所（都道府県のみ）,本社住所（都道府県除く）,本社電話番号,本社FAX番号,本社メールアドレス,採用メールアドレス
株式会社ソーゴー,そーごー,佐藤慶太,http://www.sogo-v.co.jp,https://sogo-v-s.cms2.jp/contact.html,9030001004740,1962年9月,-,未上場,162000000,25000000000,37,299,-,-,-,キッチンやユニットバス等の水回りの住宅設備を扱う会社,建設・工事業界の会社,住宅・事業所向け設備業界の会社,未分類,未分類,キッチン販売・ユニットバス販売・住宅設備販売・セミナー運営・建築資材卸売・太陽光パネル販売,BtoB,未計算,東京都板橋区板橋４丁目２番３号,173-0004,東京都,板橋区板橋４丁目２番３号,03-3579-8500,-,-,recruit@sogo-v.co.jp
曽田香料株式会社,そうだこうりょう,石村昭彦,http://www.soda.co.jp/,https://cs2.toray.co.jp/contact/k0290.nsf/inquiry?Openform&https://www.soda.co.jp/company/network.html&Ja,7010001048519,1972年9月,"松崎曻[取締役(監査等委員)],  小林龍夫[取締役(監査等委員)],  曽田義信[取締役(監査等委員)],  枡田章吾[取締役],  白川俊文[取締役/フレグランス事業部門長購買部門長],  堂前明彦[取締役/フレーバー事業部門長],  亀井暢之[取締役/総務部門長管理部門長人事部門長監査部担当],  松野健三[常務取締役/研究開発部門管掌生産部門長品質保証部担当安全・環境管理部担当],  岡村一也[専務取締役/営業全般統括ケミカル事業部門長国際部門長],  澤田定秀[代表取締役社長], ",未上場,1490000000,13776000000,5,299,2,-,3月,フレグランス製品および食品用エッセンス商品などの製造販売を行う会社,化学業界の会社,その他化学業界の会社,未分類,未分類,食品香料製造・食品香料卸売,BtoB,未計算,東京都中央区日本橋堀留町2-2-1 住友不動産人形町ビル,103-8366,東京都,中央区日本橋堀留町2-2-1 住友不動産人形町ビル,03-5645-7340,03-3668-6289,-,saiyo-soda@soda.toray.co.jp
櫻護謨株式会社,さくらごむ,中村浩士,http://www.sakura-rubber.co.jp,-,3011001008986,1918年5月,-,東証２部,506000000,9782010000,6,299,1,-,3月,消防・防災用品や救助資機材の製造および販売を行う会社,製造業界の会社,防災・防犯機器業界の会社,製造業界の会社・小売業界の会社・自動車・乗り物業界の会社・化学業界の会社,金属部品製造業界の会社・小売店舗・施設業界の会社・その他乗り物業界の会社・宇宙開発業界の会社・塗料製造業界の会社・ゴム製品・タイヤ製造業界の会社,ホース製造・ゴム製品製造・工業用塗料製造・特殊車両製造・フェンス製造・消防機器卸売・吸着剤卸売・防災用品卸売・消防ホース卸売・チューブ卸売・ホース卸売・ゴム製品卸売・消防ホース製造・防災用品製造・吸着剤製造・消防機器製造・フェンス卸売・特殊車両卸売・航空関連機器製造・チューブ製造・工業用塗料卸売,BtoB,未計算,東京都渋谷区笹塚１丁目２１番１７号,151-0073,東京都,渋谷区笹塚１丁目２１番１７号,03-3466-2171,03-3460-4910,-,recruitdesu@sakura-rubber.co.jp
株式会社協和,きょうわ,河崎東美彦,http://www.kyowa-kb.co.jp,http://www.kyowa-kb.co.jp/form/,1010501003400,1949年2月,-,未上場,100000000,23900000000,-,298,1,27,-,鉄鋼・建材製品の販売や建築・土木工事を行う会社,商社業界の会社,その他専門商社業界の会社,建設・工事業界の会社,その他土木工事業界の会社・その他建造物建築業界の会社,鉄鋼製品販売・板金工事・鉄鋼製品加工・鉄鋼製品製造・木材販売・コンクリート工事・鉄筋工事・屋根工事・鉄骨工事・化学品販売・建築資材製造・建築資材卸売,BtoC　BtoB,未計算,東京都台東区上野７丁目１２番１３号,110-0005,東京都,台東区上野７丁目１２番１３号,03-3844-6196,03-3842-5591,info@kyowa-kb.co.jp,saiyou@kyowa-kb.co.jp
パーカーアサヒ株式会社,ぱーかーあさひ,堀慎一,http://www.parker-asahi.co.jp/,-,9010001035589,1956年4月,-,未上場,830000000,9934000000,6,298,3,-,3月,樹脂やゴムでの製品を製造している会社,化学業界の会社,樹脂製品(プラスチック製品など)製造業界の会社,自動車・乗り物業界の会社,ゴム製品・タイヤ製造業界の会社,プラスチック・樹脂製品販売・合成樹脂（プラスチック）販売・合成樹脂製品製造・合成樹脂（プラスチック）製造,BtoB,未計算,東京都中央区日本橋人形町２丁目２２番１号,103-0013,東京都,中央区日本橋人形町２丁目２２番１号,048-584-1111,-,-,hansaka-y@parker-asahi.co.jp
中央リネンサプライ株式会社,ちゅうおうりねんさぷらい,藤川紳,http://www.chuolinen.co.jp/index.html,-,7010001050318,1964年2月,-,未上場,150000000,3213000000,4,297,2,-,-,新幹線の背凭れカバーや毛布などのリネンサプライ業を行う会社,その他サービス業界の会社,生活関連レンタル・リース業界の会社,未分類,未分類,ホテルリネンサプライ・リネン製品製造,BtoB,未計算,東京都中央区日本橋３丁目１番１７号,103-0027,東京都,中央区日本橋３丁目１番１７号,03-3271-6191,03-3273-5880,-,-
株式会社第一テクノ,だいいちてくの,向井善彦,http://www.daii.co.jp/,https://www.daii.co.jp/contact/,8010701005413,1958年11月,-,未上場,99000000,16901000000,13,297,-,-,-,太陽光発電設備のメンテナンスや上下水道施設の設計や施工などを手掛ける会社,建設・工事業界の会社,産業用電気設備工事業界の会社,エネルギー業界の会社,再生可能エネルギー業界の会社,発電設備工事・水道施設工事,BtoB,未計算,東京都品川区南大井６丁目１３番１０号,140-0013,東京都,品川区南大井６丁目１３番１０号,03-5762-8008,03-5762-8013,-,y-minoura@daii.co.jp
株式会社システムコンサルタント,しすてむこんさるたんと,木下仁,http://www.ksc.co.jp/index.php,-,6010601026040,1968年8月,-,未上場,298000000,3215000000,2,297,-,-,7月,金融、流通、製造などのシステム開発や、電子契約サービスなどを展開している会社,コンサルティング業界の会社,ITコンサルティング業界の会社 ,IT業界の会社,システム受託開発業界の会社,物流コンサルティング・販売管理システム開発・医療機関向けシステム開発・会計システム開発・在庫管理システム開発・顧客管理システム開発・営業支援システム開発,BtoB,未計算,東京都墨田区錦糸２丁目１４番６号,130-0013,東京都,墨田区錦糸２丁目１４番６号,03-5819-5321,03-3829-4475,cp-info@ksc.co.jp,-
株式会社日立建設設計,ひたちけんせつせっけい,橘滋夫,http://www.hae.co.jp/index.html,https://www8.hitachi.co.jp/inquiry/hae/jp/general/form.jsp,7010001027010,1965年9月,-,未上場,3000000000,6585000000,12,297,-,-,3月,日立の建物及びその他の建築プロジェクトに携わる会社,建設・工事業界の会社,土木・建築設計業界の会社,コンサルティング業界の会社,土木・建築コンサルティング業界の会社,耐震診断,BtoB,未計算,東京都千代田区内神田３丁目１１番７号,101-0047,東京都,千代田区内神田３丁目１１番７号,03-6757-7100,-,-,saiyou@hae.co.jp
株式会社東天紅,とうてんこう,小泉和久,http://www.totenko.co.jp/,https://www.totenko.co.jp/company/company_form/,5010501016225,1961年12月,-,東証１部,2572090000,6954211000,1,296,-,19,2月,中華料理店「東天紅」を運営する会社,外食業界の会社,アジア・エスニック料理業界の会社,外食業界の会社・不動産業界の会社・その他サービス業界の会社,和食・大衆料理業界の会社・その他不動産業界・ブライダル業界の会社,日本料理店運営・宴会場運営・中華料理店運営・結婚式場運営,BtoC　BtoB,未計算,東京都台東区池之端１丁目４番１号,110-0008,東京都,台東区池之端１丁目４番１号,03-3828-6272,-,-,saiyou@totenko.jp
株式会社キャッツ,きゃっつ,阿部正樹,http://www.cats.co.jp/,http://www.cats.co.jp/contact/,6011001025715,1975年3月,-,未上場,50000000,4871000000,26,295,-,-,12月,リフォーム工事やガーデニング工事、害虫防除などを行う会社,建設・工事業界の会社,居住用リフォーム業界の会社,建設・工事業界の会社・その他サービス業界の会社,太陽光パネル業界の会社・その他サービス業界,外構工事・床暖房機器設置・LED照明販売・内装工事・屋根工事・外壁工事・害獣駆除・害虫駆除・防虫加工・オール電化工事・太陽光パネル販売・太陽光パネル設置工事,BtoC　BtoB,未計算,東京都渋谷区南平台町１５番１３号,150-0036,東京都,渋谷区南平台町１５番１３号,03-5457-5101,03-5457-5198,c.center@cats.co.jp,recruit@cats.co.jp
株式会社メモリアルアートの大野屋,めもりあるあーとのおおのや,奥田実,http://www.ohnoya.co.jp/,https://www.ohnoya.co.jp/contact/contact.php,9011101056574,1939年3月,-,未上場,100000000,4700000000,20,295,-,2,12月,墓石および仏壇の販売や葬儀の手配などを行う会社,生活用品業界の会社,仏具業界の会社,その他サービス業界の会社・小売業界の会社,葬儀業界の会社・自社型eコマース業界の会社,葬儀場（斎場）運営・ペット霊園運営・葬祭業務企画・運営・仏具販売・墓石販売・ペット火葬・葬儀用品販売,BtoC　BtoB,未計算,東京都新宿区西新宿１丁目２５番１号,160-0023,東京都,新宿区西新宿１丁目２５番１号,03-6863-4111,03-5955-8801,-,jinzai@ohnoya.co.jp
株式会社プレステージ・インターナショナル,ぷれすてーじ・いんたーなしょなる,玉上進一,http://www.prestigein.com/,https://www.prestigein.com/contact/,1010001089262,1986年10月,"神門いづみ[監査役],  三上純昭[監査役],  一條和幸[常勤監査役],  石野豊[常勤監査役],  林史朗[取締役],  大向尚子[取締役],  鈴木真由美[取締役],  関根浩[取締役],  玉上進一[代表取締役], ",東証１部,1486660000,24901886000,5,294,-,-,3月,ロードサービスの提供や、マンションの水漏れ修繕などを行う会社,人材業界の会社,その他業務請負業界の会社,人材業界の会社,コールセンター運営業界の会社,クレジットカード発行・グループ会社運営・ロードサービス（レッカーサービス等）提供,BtoB,未計算,東京都千代田区麹町２丁目４番地１,102-0083,東京都,千代田区麹町２丁目４番地１,03-5213-0220,03-5213-0221,-,-
内宮運輸機工株式会社,うちみやうんゆきこう,内宮昌利,http://www.uchimiya.co.jp/,https://web.gogo.jp/uchimiya/form/contact,5011701001074,1953年7月,-,未上場,84744000,8065410000,5,294,1,-,3月,建設揚重機作業の大手会社,建設・工事業界の会社,プラント設備工事業界の会社,建設・工事業界の会社・運輸・物流業界の会社,その他建築専門工事業界の会社・一般貨物輸送業界の会社・総合土木工事業界の会社,-,BtoB,未計算,東京都江戸川区中央１丁目８番１号,132-0021,東京都,江戸川区中央１丁目８番１号,03-3651-1111,03-3651-1511,-,-
株式会社アール・エス・シー,あーる・えす・しー,金井宏夫,http://www.trsc.co.jp/,-,8013301006491,1971年9月,-,JASDAQ,302000000,5601761000,4,293,-,-,3月,警備保障や清掃などの建物総合管理サービスなどを手掛ける会社,その他サービス業界の会社,警備業界の会社,不動産業界の会社・人材業界の会社・その他サービス業界の会社・医療・福祉業界の会社,マンション・ビル管理業界の会社・物流人材派遣業界の会社・ビル清掃・ハウスクリーニング業界の会社・高齢者向け福祉業界の会社・サービス業人材派遣業界の会社・事務員・作業員派遣業界の会社・人材紹介業界の会社・製造業・技術系人材派遣業界の会社,生活介護・イベントスタッフ派遣・介護人材派遣・電気設備保守・メンテナンス・ビル管理・メンテナンス・衛生設備保守・メンテナンス・施設警備・空調設備保守・メンテナンス・製造業人材派遣・ビル清掃・エンジニア派遣,BtoB,未計算,東京都豊島区東池袋３丁目１番３号サンシャインシティ,170-8630,東京都,豊島区東池袋３丁目１番３号サンシャインシティ,03-5952-7211,03-3986-0549,rschp-keiki@trsc.co.jp,-
株式会社セイシン企業,せいしんきぎょう,三島重信,http://www.betterseishin.co.jp/,http://www.betterseishin.co.jp/inquiry/,4011001012649,1968年8月,-,未上場,300000000,7650000000,9,293,5,-,3月,粉砕や分級機などプラント機器の製造・販売などを行う会社,機械業界の会社,その他機械製造業界の会社,食品業界の会社・小売業界の会社,健康食品業界の会社・モール型eコマース業界の会社,健康食品OEM・健康食品製造・健康食品卸売・測定器卸売・測定器製造・プラント設備製造・プラント設備販売,BtoC　BtoB,未計算,東京都渋谷区千駄ヶ谷５丁目３４番７号,151-0051,東京都,渋谷区千駄ヶ谷５丁目３４番７号,03-3350-5771,03-3350-5779,info@betterseishin.co.jp,jinji@betterseishin.co.jp
