[検索条件]従業員数：~5・5~10・10~20・20~50・50~300.連絡先の有無：お問い合わせページあり.業界：コンサルティング業界の会社・Webマーケティング業界の会社・広告運用コンサルティング業界の会社
会社名,会社名ひらがな,代表者名,会社サイト,お問い合わせページ,法人番号,設立年月,役員情報,上場種別,資本金,売上高,事業所数,従業員数,工場数,店舗数,決算月,一言説明,メイン大業界,メイン小業界,サブ大業界,サブ小業界,事業内容キーワード,特徴,マッチ度,本社住所,本社郵便番号,本社住所（都道府県のみ）,本社住所（都道府県除く）,本社電話番号,本社FAX番号,本社メールアドレス,採用メールアドレス
株式会社いえらぶＧＲＯＵＰ,いえらぶぐるーぷ,岩名泰介,https://www.ielove-group.jp/,https://www.ielove-group.jp/contact/,6011101054283,2008年1月,-,未上場,38250000,-,1,297,-,-,12月,不動産会社向けのITサービスを提供する会社,IT業界の会社,クラウド・フィンテック業界の会社,コンサルティング業界の会社・IT業界の会社・その他サービス業界の会社,Webマーケティング業界の会社・Webサービス・アプリ運営業界の会社・Web制作業界の会社・システム受託開発業界の会社,-,BtoB,未計算,東京都新宿区西新宿２丁目６番１号新宿住友ビル２０階,163-0224,東京都,新宿区西新宿２丁目６番１号新宿住友ビル２０階,03-6911-3955,03-6911-3956,y-yamaguchi@ielove-group.jp,-
株式会社カヤック,かやっく,柳澤大輔,https://www.kayac.com/,https://www.kayac.com/contact/form,7021001010079,2005年1月,-,東証マザーズ,510000000,4761514000,10,295,-,-,12月,インターネット広告の制作やソーシャルゲームの提供、ゲームコミュニティ「Lobi」の運営などを行う会社,ゲーム業界の会社,ソーシャルゲーム業界の会社,IT業界の会社・エンタメ業界の会社・コンサルティング業界の会社,Webサービス・アプリ運営業界の会社・イベント業界の会社・Webマーケティング業界の会社・デジタルコンテンツ業界の会社,ARコンテンツ制作・オンラインゲーム運営・イベント企画・VRコンテンツ制作・Webマーケティング支援・地域計画・グループ会社運営・ブランディング,BtoC,未計算,神奈川県鎌倉市御成町１１番８号,248-0012,神奈川県,鎌倉市御成町１１番８号,0467-61-3399,-,-,-
株式会社アピリッツ,あぴりっつ,和田順児,https://www.appirits.com/,https://www.appirits.com/inquiry/,4011001065192,2000年7月,-,未上場,794530000,2218000000,1,295,-,-,-,ECサイト構築パッケージソフトなどのシステム開発などを行う会社,IT業界の会社,システム開発業界の会社,その他サービス業界の会社・コンサルティング業界の会社,Web制作業界の会社・Webマーケティング業界の会社,SEO対策・セキュリティ診断・在庫管理システム開発・ECサイト構築,BtoB,未計算,東京都渋谷区神宮前６丁目２７番８号,150-0001,東京都,渋谷区神宮前６丁目２７番８号,03-6690-9870,03-6861-2896,-,-
株式会社ＷＯＷＯＷ,わうわう,田中晃,http://www.wowow.co.jp/,https://corporate.wowow.co.jp/contact/,7010401022214,1984年12月,"梅田正行[監査役],  遠山友寛[監査役],  草間高志[監査役],  山内文博[監査役],  菅野寛[取締役],  藤田徹也[取締役],  山本敏博[取締役],  丸山公夫[取締役],  飯島一暢[取締役],  大高信之[取締役],  牧野力[取締役],  坂田進恒[常務取締役],  山崎一郎[常務取締役],  佐藤和仁[専務取締役],  橋本元[専務取締役],  田中晃[代表取締役社長],  和崎信哉[代表取締役会長], ",東証１部,5000000000,72951000000,2,292,-,-,3月,番組の制作やBSデジタル有料放送サービスを行う会社,マスコミ業界の会社,テレビ・ラジオ放送局業界の会社,エンタメ業界の会社・マスコミ業界の会社・コンサルティング業界の会社,イベント業界の会社・テレビ番組制作業界の会社・Webマーケティング業界の会社,衛星放送局（BS・CS放送局）運営・イベント運営・ケーブルテレビ・CATV（テレビ放送共同受信サービス）運営・テレマーケティング・イベント制作・著作権管理,BtoC,未計算,東京都港区赤坂５丁目２番２０号,107-0052,東京都,港区赤坂５丁目２番２０号,03-4330-8111,-,-,-
株式会社ＯＮＥホールディングス,おーえぬいーほーるでぃんぐす,山崎圭一郎,http://one-group.jp/,http://one-group.jp/contact/,4013301025917,2004年4月,-,未上場,30000000,6770000000,3,290,-,-,3月,に関する業務を行う会社,その他サービス業界の会社,Web制作業界の会社,IT業界の会社・コンサルティング業界の会社,Webサービス・アプリ運営業界の会社・Webマーケティング業界の会社,求人サイト運営・広告制作,BtoC　BtoB,未計算,東京都新宿区新宿４丁目３番２５号,160-0022,東京都,新宿区新宿４丁目３番２５号,03-6867-1450,03-6867-1451,-,jinji@one-group.jp
株式会社リブセンス,りぶせんす,村上太一,http://www.livesense.co.jp/,https://www.livesense.co.jp/support/contact.htm,9011001063308,2006年2月,"吉澤尚[監査役],  尾崎充[監査役],  江原凖一[常勤監査役],  池田純[取締役],  淡輪敬三[取締役],  本田浩之[取締役],  中里基[取締役/経営推進部長],  村上太一[代表取締役社長], ",東証１部,235000000,6334638000,4,283,-,-,-,求人サイト「マッハバイト」や、転職サイト「転職ナビ」の運営を行う会社,IT業界の会社,Webサービス・アプリ運営業界の会社,コンサルティング業界の会社,Webマーケティング業界の会社,レビューサイト運営・就職情報サイト運営・不動産情報サイト運営・求人サイト運営・転職サイト運営・SEO対策,BtoB　BtoC,未計算,東京都品川区上大崎２丁目２５番２号,141-0021,東京都,品川区上大崎２丁目２５番２号,03-6275-3330,-,-,-
サングローブ株式会社,さんぐろーぶ,林崇史,http://www.sungrove.co.jp/,http://www.sungrove.co.jp/contact/,2190001022527,-,-,未上場,85000000,-,2,269,-,-,-,企業のWebページ制作などのインターネット支援サービスを行う会社,広告業界の会社,インターネット広告代理店業界の会社,コンサルティング業界の会社・その他サービス業界の会社・IT業界の会社,ITコンサルティング業界の会社 ・Web制作業界の会社・ITインフラ業界の会社・Webマーケティング業界の会社,グラフィックデザイン・広告制作・SEO対策・映像制作・Webマーケティング支援・CG制作,BtoB,未計算,東京都新宿区西新宿6-24-1 西新宿三井ビルディング4F,160-0023,東京都,新宿区西新宿6-24-1 西新宿三井ビルディング4F,0120-225-173,03-5990-5308,info@sungrove.co.jp,-
株式会社Ｊストリーム,じぇいすとりーむ,石松俊雄,http://www.stream.co.jp/,https://page.stream.co.jp/service_inquiry.html,4010401089388,1997年5月,"岩木六馬[監査役],  曽山誠[監査役],  諏訪原敦彦[監査役],  保住博史[常勤監査役],  宮野隆[取締役],  山田浩喜[取締役],  宮澤範充[取締役],  井上博文[取締役],  下總邦雄[取締役],  三山悟[取締役副社長],  石松俊雄[代表取締役社長],  白石清[取締役会長], ",東証マザーズ,2182370000,5251347000,4,268,-,-,3月,インターネットを通じ映像・音声コンテンツの配信を行う会社,IT業界の会社,Webサービス・アプリ運営業界の会社,その他サービス業界の会社・IT業界の会社・エンタメ業界の会社・コンサルティング業界の会社,その他レンタル・リース業界の会社・情報セキュリティサービス業界の会社・映像・CM制作業界の会社・ソフトウェア専門商社業界の会社・Webマーケティング業界の会社・ITコンサルティング業界の会社 ・デジタルコンテンツ業界の会社・Web制作業界の会社,動画制作・撮影スタジオ運営・ネットワーク構築・ソフトウェア販売・ライブ配信サービス運営・Webコンサルティング・システム導入支援・Webメディア運営・Webマーケティング支援・音響機器レンタル・リース・Webサイト運営代行・動画配信サービス運営・セミナー運営,BtoB,未計算,東京都港区芝２丁目５番６号,105-0014,東京都,港区芝２丁目５番６号,03-5765-7000,03-5765-3520,-,saiyou@stream.co.jp
株式会社ベクトル,べくとる,西江肇司,http://vectorinc.co.jp/,https://vectorinc.co.jp/infoForm/index.html,6010401027065,1993年3月,"河野浩人[監査役(注)4],  玄君先[監査役(注)4],  森和虎[常勤監査役],  西木隆[取締役(注)2],  高橋知道[取締役(注)2],  大塚さおり[取締役],  長谷川創[取締役/海外事業本部長],  西江肇司[代表取締役], ",東証１部,2880000000,4325479000,1,265,-,-,2月,企業PRやコンサルティング、広告制作事業を手掛ける会社,コンサルティング業界の会社,経営コンサルティング業界の会社,コンサルティング業界の会社,広告運用コンサルティング業界の会社,グループ会社運営,BtoB,未計算,東京都港区赤坂４丁目１５番１号,107-0052,東京都,港区赤坂４丁目１５番１号,03-5572-6080,03-5572-6065,-,recruit@vectorinc.co.jp
株式会社ブランジスタ,ぶらんじすた,岩本恵了,https://www.brangista.com/,https://www.brangista.com/inquiry/,4011001035708,2000年11月,-,東証マザーズ,1735000000,3394000000,8,264,-,-,9月,「旅色」「GOODA」などの無料電子雑誌の制作および発行を行う会社,マスコミ業界の会社,電子書籍出版業界の会社,IT業界の会社・その他サービス業界の会社・広告業界の会社・コンサルティング業界の会社,クラウド・フィンテック業界の会社・Web制作業界の会社・インターネット広告代理店業界の会社・システム開発業界の会社・Webマーケティング業界の会社,Webマーケティング支援・メールマガジン配信・翻訳ソフト開発・ECサイト構築・雑誌制作・SEO対策・ECサイト管理システム運営,BtoB　BtoC,未計算,東京都渋谷区桜丘町２０番４号ネクシィーズスクエアビル,150-0031,東京都,渋谷区桜丘町２０番４号ネクシィーズスクエアビル,03-6415-1183,03-3476-7877,info@brangista.com,-
