[検索条件]従業員数：~5・5~10・10~20・20~50・50~300.連絡先の有無：お問い合わせページあり.業界：小売業界の会社・モール型eコマース業界の会社・自社型eコマース業界の会社.地域：東京都.愛知県.大阪府
会社名,会社名ひらがな,代表者名,会社サイト,お問い合わせページ,法人番号,設立年月,役員情報,上場種別,資本金,売上高,事業所数,従業員数,工場数,店舗数,決算月,一言説明,メイン大業界,メイン小業界,サブ大業界,サブ小業界,事業内容キーワード,特徴,マッチ度,本社住所,本社郵便番号,本社住所（都道府県のみ）,本社住所（都道府県除く）,本社電話番号,本社FAX番号,本社メールアドレス,採用メールアドレス
株式会社Ｉ－ｎｅ,いーね,大西洋平,https://i-ne.co.jp/,https://i-ne.co.jp/contact/other/,6140001082869,2007年3月,-,未上場,200000000,-,3,298,-,-,-,美容雑貨などの企画および販売を行っている会社,小売業界の会社,美容グッズ販売業界の会社,小売業界の会社,自社型eコマース業界の会社,スキンケア用品販売・化粧品OEM・美容機器・美容器具販売・美容機器・美容器具卸売・美容機器・美容器具製造・サプリメント製造・サプリメント販売・サプリメント卸売・雑貨OEM・スキンケア用品製造・化粧品卸売・スキンケア用品卸売・化粧品販売・シャンプー販売・シャンプー製造・シャンプー卸売,BtoC　BtoB,未計算,大阪府大阪市北区中之島６丁目１番２１号,530-0005,大阪府,大阪市北区中之島６丁目１番２１号,06-6443-0881,06-6245-8611,-,-
株式会社ウエニ,うえに,宮上光弘,http://www.ueni.co.jp/,https://www.ueni.co.jp/contact/,4010501001161,1989年2月,-,未上場,88000000,48200000000,2,297,-,-,8月,海外ブランド時計の輸入や卸売りを行う会社,商社業界の会社,その他専門商社業界の会社,小売業界の会社・アパレル・美容業界の会社,自社型eコマース業界の会社・ジュエリー製造業界の会社・輸入雑貨販売業界の会社,かばん・バッグ販売・靴卸売・ファッション雑貨卸売・かばん・バッグ卸売・時計販売・ジュエリー卸売・財布販売・香水卸売・財布卸売・時計卸売・香水販売,BtoC　BtoB,未計算,東京都台東区池之端１丁目６番１７号,110-0008,東京都,台東区池之端１丁目６番１７号,03-5815-5700,03-5815-5300,-,-
キングレコード株式会社,きんぐれこーど,坂本敏明,http://www.kingrecords.co.jp/cs/default.aspx,https://cnt.kingrecords.co.jp/customer/cs/cs_form.html,3010001002017,1951年11月,-,未上場,1300000000,-,5,295,-,-,3月,音楽や映像ソフトの企画や制作、販売を行う会社,エンタメ業界の会社,CD等マルチメディア・楽器業界の会社,エンタメ業界の会社・小売業界の会社・IT業界の会社,イベント業界の会社・自社型eコマース業界の会社・デジタルコンテンツ業界の会社・映像・CM制作業界の会社,CD・レコード販売・グッズ販売・DVD販売・CD・レコード制作・DVD制作,BtoB　BtoC,未計算,東京都文京区音羽１丁目２番３号,112-0013,東京都,文京区音羽１丁目２番３号,03-5940-7500,-,-,-
株式会社ハピネス・アンド・ディ,はぴねす・あんど・でぃ,田篤史,http://www.happiness-d.co.jp/,http://www.happiness-d.co.jp/contact/index.html,4040001063955,1990年9月,-,JASDAQ,325390000,20760050000,1,295,-,85,8月,セレクトショップ「ハピネス」等のテナント運営や輸入商品の販売を行う会社,アパレル・美容業界の会社,バッグ・アパレル雑貨製造業界の会社,小売業界の会社・アパレル・美容業界の会社,モール型eコマース業界の会社・時計業界の会社・ジュエリーショップ業界の会社・自社型eコマース業界の会社,指輪販売・財布販売・ブランド品買取・ネックレス販売・時計販売・腕時計販売・インテリア雑貨販売・サングラス販売・ジュエリー販売・ブランド品査定・かばん・バッグ販売・香水販売・アクセサリー販売,BtoC,未計算,東京都中央区銀座１丁目１６番１号,104-0061,東京都,中央区銀座１丁目１６番１号,03-3562-7521,03-3562-7531,support@happiness-d.com,-
株式会社メモリアルアートの大野屋,めもりあるあーとのおおのや,奥田実,http://www.ohnoya.co.jp/,https://www.ohnoya.co.jp/contact/contact.php,9011101056574,1939年3月,-,未上場,100000000,4700000000,20,295,-,2,12月,墓石および仏壇の販売や葬儀の手配などを行う会社,生活用品業界の会社,仏具業界の会社,その他サービス業界の会社・小売業界の会社,葬儀業界の会社・自社型eコマース業界の会社,葬儀場（斎場）運営・ペット霊園運営・葬祭業務企画・運営・仏具販売・墓石販売・ペット火葬・葬儀用品販売,BtoC　BtoB,未計算,東京都新宿区西新宿１丁目２５番１号,160-0023,東京都,新宿区西新宿１丁目２５番１号,03-6863-4111,03-5955-8801,-,jinzai@ohnoya.co.jp
寿がきや食品株式会社,すがきやしょくひん,菅木伸一,http://www.sugakiya.co.jp,https://fs221.xbit.jp/q669/form1/,3180001069700,1963年4月,-,未上場,93000000,15152000000,6,293,1,-,3月,即席ラーメンや麺つゆなどの製造及び販売を行う会社,食品業界の会社,麺類製造業界の会社,小売業界の会社・食品業界の会社,モール型eコマース業界の会社・自社型eコマース業界の会社・調味料製造業界の会社,インスタント・レトルト食品製造・食肉加工品（ソーセージ・ベーコン・ハム等）製造・食品開発・めんつゆ製造,BtoB,未計算,愛知県豊明市沓掛町小所１８９番地,470-1101,愛知県,豊明市沓掛町小所１８９番地,0562-92-8642,0562-92-8648,-,-
株式会社セイシン企業,せいしんきぎょう,三島重信,http://www.betterseishin.co.jp/,http://www.betterseishin.co.jp/inquiry/,4011001012649,1968年8月,-,未上場,300000000,7650000000,9,293,5,-,3月,粉砕や分級機などプラント機器の製造・販売などを行う会社,機械業界の会社,その他機械製造業界の会社,食品業界の会社・小売業界の会社,健康食品業界の会社・モール型eコマース業界の会社,健康食品OEM・健康食品製造・健康食品卸売・測定器卸売・測定器製造・プラント設備製造・プラント設備販売,BtoC　BtoB,未計算,東京都渋谷区千駄ヶ谷５丁目３４番７号,151-0051,東京都,渋谷区千駄ヶ谷５丁目３４番７号,03-3350-5771,03-3350-5779,info@betterseishin.co.jp,jinji@betterseishin.co.jp
株式会社ダリヤ,だりや,野々川大介,http://www.dariyacosme.com/,https://www.dariyacosme.com/inquiry/01.html,7180001012689,1950年11月,-,未上場,54000000,-,8,290,2,-,-,ヘアカラー「サロン ド プロ」をはじめとする化粧品を製造及び販売する会社,アパレル・美容業界の会社,スキンケア製品製造業界の会社,小売業界の会社,美容グッズ販売業界の会社・モール型eコマース業界の会社,ヘアカラー剤販売・ヘアカラー剤製造・スキンケア用品販売・スキンケア用品製造・スキンケア用品卸売・ヘアケア用品販売・ヘアケア用品卸売,BtoC　BtoB,未計算,愛知県名古屋市中区丸の内３丁目５番２４号,460-0002,愛知県,名古屋市中区丸の内３丁目５番２４号,052-950-7711,052-961-8712,-,-
株式会社イデムインターナショナル,いでむいんたーなしょなる,秋浜亜彦,http://idem.co.jp/,http://idem.co.jp/contact/,8011001002522,1988年9月,-,未上場,33000000,4600000000,3,290,-,-,12月,「セ・ニノン」などの婦人服の企画や卸売を行う会社,アパレル・美容業界の会社,レディースアパレルメーカー業界の会社,小売業界の会社,自社型eコマース業界の会社・レディースアパレルショップ業界の会社,アパレル製品企画・開発・商品企画,BtoB　BtoC,未計算,東京都渋谷区恵比寿南１丁目１４番１２号,150-0022,東京都,渋谷区恵比寿南１丁目１４番１２号,03-3719-5550,-,-,-
Ｄｅｃｋｅｒｓ　Ｊａｐａｎ合同会社,でっかーずじゃぱん,伊藤輝希,https://www.ugg.com/jp,https://help-jp.ugg.com/hc/ja/requests/new,5010403007917,2009年2月,-,未上場,-,-,1,290,-,-,-,「UGG」ブランドの展開およびアパレル製品の販売などを行う会社,小売業界の会社,その他アパレルショップ業界の会社,小売業界の会社,雑貨販売業界の会社・自社型eコマース業界の会社,アクセサリー販売・アクセサリー輸入・アパレル製品企画・開発・靴販売・アクセサリー卸売・アパレル製品輸入・かばん・バッグ販売,BtoB　BtoC,未計算,東京都渋谷区恵比寿４丁目２０番３号恵比寿ガーデンプレイスタワー１５階,150-6015,東京都,渋谷区恵比寿４丁目２０番３号恵比寿ガーデンプレイスタワー１５階,-,-,customer_service_jp@deckers.com,mbx-dtchr-japan@deckers.com
