[検索条件]設立年数：2~10・11~30.業態：BtoB.上場種別：未上場.事業内容キーワード：Webメディア運営.地域：東京都
会社名,会社名ひらがな,代表者名,会社サイト,お問い合わせページ,法人番号,設立年月,役員情報,上場種別,資本金,売上高,事業所数,従業員数,工場数,店舗数,決算月,一言説明,メイン大業界,メイン小業界,サブ大業界,サブ小業界,事業内容キーワード,特徴,マッチ度,本社住所,本社郵便番号,本社住所（都道府県のみ）,本社住所（都道府県除く）,本社電話番号,本社FAX番号,本社メールアドレス,採用メールアドレス
株式会社ＬＩＮＥ,らいん,出澤剛,https://linecorp.com/ja/,-,2010401132166,2000年9月,-,未上場,92369000000,167147000000,1,1716,-,-,12月,「LINE」をはじめインターネット・コンテンツを開発・運用する会社,IT業界の会社,Webサービス・アプリ運営業界の会社,未分類,未分類,Webメディア運営・クラウド開発,BtoC　BtoB,未計算,東京都港区赤坂３丁目１５番２号,107-0052,東京都,港区赤坂３丁目１５番２号,-,-,-,-
株式会社Ｗｉｚ,わいず,山﨑俊,http://012grp.co.jp,https://012grp.co.jp/contact/,2013301032080,2012年4月,-,未上場,60000000,16000000000,19,908,-,-,11月,通信サービスの提供、IoTやICT導入による業務支援などを行う会社,IT業界の会社,Webサービス・アプリ運営業界の会社,コンサルティング業界の会社・通信業界の会社,ITコンサルティング業界の会社 ・携帯・通信回線販売代理店業界の会社,求人サイト運営・インターネット回線販売・基幹業務システム販売・ネットワーク構築・Webメディア運営・防犯・セキュリティ機器販売・システム導入支援,BtoB　BtoC,未計算,東京都豊島区南大塚２丁目２５番１５号,170-0005,東京都,豊島区南大塚２丁目２５番１５号,03-6368-6275,03-5319-6160,wiz_info@012grp.co.jp,wiz_saiyou@012grp.co.jp
株式会社オプト,おぷと,金澤大輔,http://www.opt.ne.jp/,https://www.opt.ne.jp/contact/,5010001166909,2015年4月,-,未上場,100000000,-,5,750,-,-,-,マーケティングサービスや広告代理サービスの提供を行う会社,広告業界の会社,インターネット広告代理店業界の会社,IT業界の会社,システム開発業界の会社・Webサービス・アプリ運営業界の会社,Webマーケティング支援・Webメディア運営・データ分析・SEO対策・マーケティング支援・データベース販売・広告効果測定ツール制作・広告制作,BtoB,未計算,東京都千代田区四番町６番,102-0081,東京都,千代田区四番町６番,03-5745-3601,-,-,recruit@opt.ne.jp
株式会社ワークポート,わーくぽーと,田村高広,https://www.workport.co.jp/corporate/,https://www.workport.co.jp/contact/,9010701016178,2003年3月,-,未上場,42000000,-,17,550,-,-,3月,専門業界に特化した転職相談サービスを手掛ける会社,人材業界の会社,人材紹介業界の会社,未分類,未分類,Webメディア運営・転職サイト運営・転職支援・就職支援,BtoB,未計算,東京都品川区大崎１丁目２番２号,141-0032,東京都,品川区大崎１丁目２番２号,0120-77-1049,-,otoiawase@workport.jp,-
株式会社ｍｅｄｉｂａ,めでぃーば,江幡智広,http://www.mediba.jp/,https://www.mediba.jp/contact/,1010401062703,2000年12月,-,未上場,1035000000,11582000000,2,469,-,-,3月,「auスマートパス」などのサービスを運営する会社,IT業界の会社,Webサービス・アプリ運営業界の会社,その他サービス業界の会社・広告業界の会社,Web制作業界の会社・インターネット広告代理店業界の会社,Webマーケティング支援・Webシステム開発・デバッグ・ポイントサイト運営・占いサービス提供・Webメディア運営・データ入力代行・データ分析・ポータルサイト運営・ポイントサービス運営・BPO関連サービス提供・Webコンサルティング,BtoC　BtoB,未計算,東京都港区六本木３丁目２番１号,106-0032,東京都,港区六本木３丁目２番１号,03-4316-7577,03-4316-7570,-,-
株式会社マチマチ,まちまち,六人部生馬,https://www.machimachi.co.jp/,https://docs.google.com/forms/d/e/1FAIpQLSfGy_rO8ahlpMnjGVVwBZ0zka_d59CCXkWCbSuNSy1gI_dCIQ/viewform,2010801026067,2015年10月,-,未上場,385170000,-,1,300,-,-,-,地域の情報を掲載するSNS「マチマチ」の運営を行う会社,IT業界の会社,Webサービス・アプリ運営業界の会社,コンサルティング業界の会社,経営コンサルティング業界の会社,地域情報サイト運営・Webメディア運営,BtoC　BtoB,未計算,東京都渋谷区渋谷２丁目６番地１２号　ベルデ青山６Ｆ,150-0002,東京都,渋谷区渋谷２丁目６番地１２号　ベルデ青山６Ｆ,-,-,bizdev@machimachi.com,-
株式会社インプレス,いんぷれす,小川亨,https://www.impress.co.jp/,https://www.impress.co.jp/contact.html,7010001089959,2014年10月,-,未上場,90000000,-,1,206,-,-,3月,Webマガジンなどのネットメディア・サービス事業を展開する会社,IT業界の会社,Webサービス・アプリ運営業界の会社,未分類,未分類,Webメディア運営・動画配信サービス運営・マッチングサービス運営,BtoC　BtoB,未計算,東京都千代田区神田神保町１丁目１０５番地,101-0051,東京都,千代田区神田神保町１丁目１０５番地,03-6837-4600,03-6837-4601,-,recruit-iph@impress.co.jp
株式会社ＵＳＥＮ　Ｍｅｄｉａ,ゆうせんめでぃあ,成内英介,https://usen.media/,-,6010401132179,2017年6月,-,未上場,10000000,4020000000,14,201,-,-,8月,レストランおよびウェディングなどの集客支援メディア事業を行う会社,コンサルティング業界の会社,販売促進コンサルティング業界の会社,IT業界の会社・コンサルティング業界の会社・マスコミ業界の会社,Webサービス・アプリ運営業界の会社・Webマーケティング業界の会社・書籍出版業界の会社,Webシステム開発・Webメディア運営・動画配信サービス運営・音楽配信サービス運営,BtoB,未計算,東京都品川区上大崎３丁目１番１号,141-0021,東京都,品川区上大崎３丁目１番１号,03-6823-7059,03-6741-4688,-,saiyo-ung@usen-next.jp
株式会社ウェアーズ,うぇあーず,上杉典正,https://wears.jp/,-,4011001040682,1999年1月,-,未上場,10000000,5600000000,2,166,-,-,7月,「ダブルクローゼット」ブランドによるアパレル製品の製造および販売を行う会社,アパレル・美容業界の会社,レディースアパレルメーカー業界の会社,未分類,未分類,和服・着物（浴衣・振袖等）製造・Webメディア運営・アパレル製品企画・開発・かばん・バッグ販売・靴販売・シャツ販売・靴製造・ベルト（アパレル）製造・かばん・バッグ製造・アパレルOEM,BtoB　BtoC,未計算,東京都渋谷区神宮前３丁目５番７号,150-0001,東京都,渋谷区神宮前３丁目５番７号,03-5770-6256,03-5770-6257,mail@wears.jp,kamichi@wears.jp
株式会社ネクスウェイ,ねくすうぇい,松森正彦,http://www.nexway.co.jp/,https://www.nexway.co.jp/form/index/?id=701100000004rom,1010401090340,2004年10月,-,未上場,300000000,9500000000,1,158,-,-,3月,クラウドサービスやアプリなどを用いた情報通信サービスを提供する会社,IT業界の会社,Webサービス・アプリ運営業界の会社,未分類,未分類,ビジネスセミナー運営・セミナー運営・クラウドサービス提供・Webメディア運営,BtoB,未計算,東京都港区虎ノ門４丁目３番１３号,105-0001,東京都,港区虎ノ門４丁目３番１３号,03-6388-1111,-,clp@nexway.co.jp,-
