[検索条件]従業員数：10~20・20~50.設立年数：2~10・11~30.業態：BtoB.事業内容キーワード：SEO対策.地域：東京都
会社名,会社名ひらがな,代表者名,会社サイト,お問い合わせページ,法人番号,設立年月,役員情報,上場種別,資本金,売上高,事業所数,従業員数,工場数,店舗数,決算月,一言説明,メイン大業界,メイン小業界,サブ大業界,サブ小業界,事業内容キーワード,特徴,マッチ度,本社住所,本社郵便番号,本社住所（都道府県のみ）,本社住所（都道府県除く）,本社電話番号,本社FAX番号,本社メールアドレス,採用メールアドレス
リビン・テクノロジーズ株式会社,りびん・てくのろじーず,川合大無,https://www.lvn.co.jp/,https://www.lvn.co.jp/contact/,9010001086161,2004年1月,-,東証マザーズ,192516000,1872000000,4,49,-,-,9月,不動産ポータルサイトの運営を行う会社,IT業界の会社,Webサービス・アプリ運営業界の会社,広告業界の会社,インターネット広告代理店業界の会社,SEO対策・ポータルサイト運営,BtoB,未計算,東京都中央区日本橋堀留町１丁目８番１２号,103-0012,東京都,中央区日本橋堀留町１丁目８番１２号,03-5847-8558,03-5847-8559,info@lvn.co.jp,-
ブルースクレイ・ジャパン株式会社,ぶるーすくれい・じゃぱん,天野拓,https://bruceclay.jpn.com,https://bruceclay.jpn.com/contact/,8011001062640,2008年5月,-,未上場,50000000,1493500000,1,49,-,-,-,SEO対策を中心としたWebコンサルティングを行う会社,コンサルティング業界の会社,Webマーケティング業界の会社,広告業界の会社,インターネット広告代理店業界の会社,広告制作・Webマーケティング支援・SEO対策,BtoB,未計算,東京都渋谷区渋谷３丁目１９番１号,150-0002,東京都,渋谷区渋谷３丁目１９番１号,03-5468-3860,03-5468-3861,-,-
株式会社Ｇｏ－Ｎｅｘｔ,ごーねくすと,清水雅彦,http://www.go-next.co.jp/,http://www.go-next.co.jp/form/,1010701025608,2005年2月,-,未上場,10000000,-,1,49,-,-,-,WEBサイトのコンテンツ企画から設計、デザインを請け負う会社,その他サービス業界の会社,デザイン業界の会社,IT業界の会社,Webサービス・アプリ運営業界の会社,マーケティング支援・市場調査・Webマーケティング支援・SEO対策,BtoB,未計算,東京都品川区西五反田１丁目３０番２号,141-0031,東京都,品川区西五反田１丁目３０番２号,03-5436-4557,03-5496-1624,info@go-next.co.jp,-
株式会社ウィーブ,うぃーぶ,高橋誠司,https://www.weave.ne.jp/,-,9011701000980,1996年3月,-,未上場,70000000,-,1,49,-,-,-,Web制作や管理システム開発などを行う会社,その他サービス業界の会社,Web制作業界の会社,IT業界の会社,ITインフラ業界の会社・システム受託開発業界の会社,Webマーケティング支援・顧客管理システム開発・サーバー運用・住宅管理システム開発・ネットワーク構築・SEO対策・Webシステム開発,BtoB,未計算,東京都中央区日本橋３丁目１番８号,103-0027,東京都,中央区日本橋３丁目１番８号,03-3242-7381,03-3242-7411,info-weave@starts.co.jp,-
株式会社ＦＵＣＡ,ふうか,岡田隆之,http://www.fuca.co.jp/,http://www.fuca.co.jp/contact/,8011001061816,2005年2月,-,未上場,21940000,-,1,48,-,-,-,Web制作や、Webコンサルティングなどを行う会社,その他サービス業界の会社,デザイン業界の会社,コンサルティング業界の会社,ITコンサルティング業界の会社 ,Webマーケティング支援・Webメディア運営・メールマガジン配信・企業PRプランニング・SEO対策・Webコンサルティング,BtoB,未計算,東京都渋谷区恵比寿南１丁目９番１２号ピトレスクビル３Ｆ,150-0022,東京都,渋谷区恵比寿南１丁目９番１２号ピトレスクビル３Ｆ,03-6412-8870,03-6412-8871,-,-
マーケティングパートナー株式会社,まーけてぃんぐぱーとなー,権田真司,http://marketing-partner.jp,https://www.marketing-partner.jp/inquiry/mailform.html,2010001146847,1998年3月,-,未上場,10000000,1485464000,1,48,-,-,-,集客支援をはじめ、ECサイトの構築や運営のサポートを行う会社,人材業界の会社,コールセンター運営業界の会社,エンタメ業界の会社・コンサルティング業界の会社,ペット・動物業界の会社・経営コンサルティング業界の会社,ペットフード販売・ペット用品販売・マーケティング支援・プロモーション企画・SEO対策・Webマーケティング支援・ECサイト構築,BtoC　BtoB,未計算,東京都墨田区太平４丁目１番３号,130-0012,東京都,墨田区太平４丁目１番３号,03-4214-3010,03-4214-3011,-,-
株式会社フレックス,ふれっくす,福田健一,http://flex-inc.jp/,http://flex-inc.jp/contact.html,7013301025146,2006年3月,-,未上場,10000000,-,1,47,-,-,3月,オフィスの通信コスト削減の提案やIT関連事業を行う会社,コンサルティング業界の会社,Webマーケティング業界の会社,通信業界の会社,携帯・通信回線販売代理店業界の会社,通信機器販売・SEO対策・Webサイト運営代行・通信機器レンタル・リース,BtoB,未計算,東京都豊島区西池袋３丁目３１番８号,171-0021,東京都,豊島区西池袋３丁目３１番８号,03-5957-2100,03-5957-2101,-,-
Ｍｔａｍｅ株式会社,えむため,金井章浩,https://mtame.co.jp/,https://mtame.co.jp/contact.html,6011101082301,2018年4月,-,未上場,50000000,-,1,47,-,-,-,Webサイトの企画や制作、マーケティングツールの制作などを行う会社,その他サービス業界の会社,Web制作業界の会社,コンサルティング業界の会社,ITコンサルティング業界の会社 ・Webマーケティング業界の会社,マーケティング支援・Webマーケティング支援・SEO対策・Webコンサルティング,BtoB,未計算,東京都新宿区西新宿２丁目３番１号,160-0023,東京都,新宿区西新宿２丁目３番１号,-,-,-,-
株式会社ＥＸＩＤＥＡ,えくしでぃあ,小川卓真,http://exidea.co.jp/,-,2010001153728,2013年5月,-,未上場,15000000,-,1,47,-,-,-,Webメディア分析・解析ツール「EmmaTools」やWebサービスの開発を行う会社,コンサルティング業界の会社,Webマーケティング業界の会社,その他サービス業界の会社,Web制作業界の会社,Webマーケティング支援・SEO対策,BtoB,未計算,東京都中央区京橋２丁目１１－３服部ビル４０２,104-0031,東京都,中央区京橋２丁目１１－３服部ビル４０２,03-5579-9934,-,contact@exidea.co.jp,-
株式会社レントラックス,れんとらっくす,山﨑大輔,https://www.rentracks.co.jp/,https://www.rentracks.co.jp/inquiry/,6011701010603,2005年12月,"金子英司[代表取締役社長],  椙尾幸介[取締役/管理部長],  横山早苗[取締役/メディア事業部長],  河嶋茂[取締役],  織茂俊六[常勤監査役],  山本賢志[監査役],  大西正義[監査役], ",東証マザーズ,439925900,9873326000,4,46,-,-,3月,成果報酬型広告サービス「Rentracks」などを運営する会社,IT業界の会社,Webサービス・アプリ運営業界の会社,IT業界の会社・広告業界の会社・商社業界の会社,クラウド・フィンテック業界の会社・インターネット広告代理店業界の会社・工業用機械専門商社業界の会社・システム開発業界の会社,建設機械卸売・SEO対策・クラウドサービス提供・アフィリエイト広告販売,BtoB,未計算,東京都江戸川区西葛西5-2-3 NEXTAGE西葛西5F,134-0088,東京都,江戸川区西葛西5-2-3 NEXTAGE西葛西5F,03-3878-4159,03-5696-0155,info@rentracks.co.jp,rentracks@gakunavi.net
