[検索条件]従業員数：10~20・20~50・50~300.設立年数：11~30.業態：BtoB・BtoC.業界：IT業界の会社・Webサービス・アプリ運営業界の会社.小売業界の会社・自社型eコマース業界の会社.地域：東京都
会社名,会社名ひらがな,代表者名,会社サイト,お問い合わせページ,法人番号,設立年月,役員情報,上場種別,資本金,売上高,事業所数,従業員数,工場数,店舗数,決算月,一言説明,メイン大業界,メイン小業界,サブ大業界,サブ小業界,事業内容キーワード,特徴,マッチ度,本社住所,本社郵便番号,本社住所（都道府県のみ）,本社住所（都道府県除く）,本社電話番号,本社FAX番号,本社メールアドレス,採用メールアドレス
株式会社いえらぶＧＲＯＵＰ,いえらぶぐるーぷ,岩名泰介,https://www.ielove-group.jp/,https://www.ielove-group.jp/contact/,6011101054283,2008年1月,-,未上場,38250000,-,1,297,-,-,12月,不動産会社向けのITサービスを提供する会社,IT業界の会社,クラウド・フィンテック業界の会社,コンサルティング業界の会社・IT業界の会社・その他サービス業界の会社,Webマーケティング業界の会社・Webサービス・アプリ運営業界の会社・Web制作業界の会社・システム受託開発業界の会社,-,BtoB,未計算,東京都新宿区西新宿２丁目６番１号新宿住友ビル２０階,163-0224,東京都,新宿区西新宿２丁目６番１号新宿住友ビル２０階,03-6911-3955,03-6911-3956,y-yamaguchi@ielove-group.jp,-
株式会社ハピネス・アンド・ディ,はぴねす・あんど・でぃ,田篤史,http://www.happiness-d.co.jp/,http://www.happiness-d.co.jp/contact/index.html,4040001063955,1990年9月,-,JASDAQ,325390000,20760050000,1,295,-,85,8月,セレクトショップ「ハピネス」等のテナント運営や輸入商品の販売を行う会社,アパレル・美容業界の会社,バッグ・アパレル雑貨製造業界の会社,小売業界の会社・アパレル・美容業界の会社,モール型eコマース業界の会社・時計業界の会社・ジュエリーショップ業界の会社・自社型eコマース業界の会社,指輪販売・財布販売・ブランド品買取・ネックレス販売・時計販売・腕時計販売・インテリア雑貨販売・サングラス販売・ジュエリー販売・ブランド品査定・かばん・バッグ販売・香水販売・アクセサリー販売,BtoC,未計算,東京都中央区銀座１丁目１６番１号,104-0061,東京都,中央区銀座１丁目１６番１号,03-3562-7521,03-3562-7531,support@happiness-d.com,-
株式会社インターネットインフィニティー,いんたーねっといんふぃにてぃー,別宮圭一,http://iif.jp/index.html,-,2010001088949,2001年5月,-,東証マザーズ,250992286,3363158000,1,292,-,-,3月,短時間リハビリ型通所介護サービス「レコードブック」の運営などを行う会社,医療・福祉業界の会社,高齢者向け福祉業界の会社,IT業界の会社・コンサルティング業界の会社,Webサービス・アプリ運営業界の会社・医療系コンサルティング業界の会社,生活介護・Webメディア運営・マーケティング支援・居宅介護支援・デイサービス事業所運営・リハビリテーションサービス提供・介護サービス計画（ケアプラン）作成・訪問介護・介護事業コンサルティング・医療情報提供,BtoC　BtoB,未計算,東京都品川区大崎1-11-2 ゲートシティ大崎イーストタワー4階,141-0032,東京都,品川区大崎1-11-2 ゲートシティ大崎イーストタワー4階,03-6779-4777,-,info@iif.jp,-
Ｄｅｃｋｅｒｓ　Ｊａｐａｎ合同会社,でっかーずじゃぱん,伊藤輝希,https://www.ugg.com/jp,https://help-jp.ugg.com/hc/ja/requests/new,5010403007917,2009年2月,-,未上場,-,-,1,290,-,-,-,「UGG」ブランドの展開およびアパレル製品の販売などを行う会社,小売業界の会社,その他アパレルショップ業界の会社,小売業界の会社,雑貨販売業界の会社・自社型eコマース業界の会社,アクセサリー販売・アクセサリー輸入・アパレル製品企画・開発・靴販売・アクセサリー卸売・アパレル製品輸入・かばん・バッグ販売,BtoB　BtoC,未計算,東京都渋谷区恵比寿４丁目２０番３号恵比寿ガーデンプレイスタワー１５階,150-6015,東京都,渋谷区恵比寿４丁目２０番３号恵比寿ガーデンプレイスタワー１５階,-,-,customer_service_jp@deckers.com,mbx-dtchr-japan@deckers.com
株式会社ＯＮＥホールディングス,おーえぬいーほーるでぃんぐす,山崎圭一郎,http://one-group.jp/,http://one-group.jp/contact/,4013301025917,2004年4月,-,未上場,30000000,6770000000,3,290,-,-,3月,に関する業務を行う会社,その他サービス業界の会社,Web制作業界の会社,IT業界の会社・コンサルティング業界の会社,Webサービス・アプリ運営業界の会社・Webマーケティング業界の会社,求人サイト運営・広告制作,BtoC　BtoB,未計算,東京都新宿区新宿４丁目３番２５号,160-0022,東京都,新宿区新宿４丁目３番２５号,03-6867-1450,03-6867-1451,-,jinji@one-group.jp
株式会社アイフリークモバイル,あいふりーくもばいる,上原彩美,http://www.i-freek.co.jp/,https://www.i-freek.co.jp/contact/general,2290001021923,2000年6月,"神谷善昌[監査役],  橋岡宏成[監査役],  溝田吉記[監査役(常勤)],  佐々木吉博[取締役],  鴇崎俊也[取締役],  吉田邦臣[取締役],  紀伊克彦[取締役],  上原彩美[代表取締役社長], ",JASDAQ,1058598000,986406000,2,289,-,-,3月,モバイル端末のHTMLメールサービスにおけるデジタル素材の提供などを行う会社,IT業界の会社,Webサービス・アプリ運営業界の会社,エンタメ業界の会社・人材業界の会社・IT業界の会社,映画・アニメ業界の会社・製造業・技術系人材派遣業界の会社・システム受託開発業界の会社・デジタルコンテンツ業界の会社,VRコンテンツ制作・エンジニア派遣・ARコンテンツ制作・映像制作・写真加工アプリ開発,BtoB　BtoC,未計算,東京都新宿区新宿二丁目1番11号 御苑スカイビル10階,160-0022,東京都,新宿区新宿二丁目1番11号 御苑スカイビル10階,03-6274-8901,03-6274-8902,-,recruit@i-freek.co.jp
株式会社リブセンス,りぶせんす,村上太一,http://www.livesense.co.jp/,https://www.livesense.co.jp/support/contact.htm,9011001063308,2006年2月,"吉澤尚[監査役],  尾崎充[監査役],  江原凖一[常勤監査役],  池田純[取締役],  淡輪敬三[取締役],  本田浩之[取締役],  中里基[取締役/経営推進部長],  村上太一[代表取締役社長], ",東証１部,235000000,6334638000,4,283,-,-,-,求人サイト「マッハバイト」や、転職サイト「転職ナビ」の運営を行う会社,IT業界の会社,Webサービス・アプリ運営業界の会社,コンサルティング業界の会社,Webマーケティング業界の会社,レビューサイト運営・就職情報サイト運営・不動産情報サイト運営・求人サイト運営・転職サイト運営・SEO対策,BtoB　BtoC,未計算,東京都品川区上大崎２丁目２５番２号,141-0021,東京都,品川区上大崎２丁目２５番２号,03-6275-3330,-,-,-
株式会社Ｄｏｎｕｔｓ,どーなつ,西村啓成,http://www.donuts.ne.jp/,https://www.donuts.ne.jp/contact/,9011101044595,2007年2月,-,未上場,77770000,6100000000,2,279,-,-,3月,クラウド型管理システムやスマートフォン向けゲームアプリなどの運営を行う会社,IT業界の会社,Webサービス・アプリ運営業界の会社,未分類,未分類,動画配信サービス運営・給与管理システム開発・勤怠管理システム開発,BtoB　BtoC,未計算,東京都渋谷区代々木２丁目２番１号,151-0053,東京都,渋谷区代々木２丁目２番１号,03-6300-9420,020-4622-5203,info@donuts.ne.jp,-
ＧＭＯペパボ株式会社,じーえむおーぺぱぼ,佐藤健太郎,https://pepabo.com/,https://pepabo.com/contact/form/?category=business,5011001042496,2003年1月,"宍戸一樹[取締役(監査等委員)],  浜谷正俊[取締役(監査等委員)],  久保田文之[取締役(監査等委員)],  安田昌史[取締役],  伊藤正[取締役],  西山裕之[取締役],  五十島啓人[取締役/経営戦略部長],  星隼人[取締役/EC事業部長],  永椎広典[取締役/福岡支社長兼ホスティング事業部長兼minne事業部長],  河添理[取締役/本社事業部長],  佐藤健太郎[代表取締役社長],  熊谷正寿[取締役会長], ",東証２部,159670000,8200997000,3,278,-,-,12月,ホスティングやEC支援などのインターネットインフラ事業やインターネット広告・メディア事業などを手掛ける会社,IT業界の会社,クラウド・フィンテック業界の会社,IT業界の会社,Webサービス・アプリ運営業界の会社,クラウドサービス提供・レンタルサーバー運営,BtoC,未計算,東京都渋谷区桜丘町２６番１号,150-8512,東京都,渋谷区桜丘町２６番１号,03-5456-2622,-,-,pb_recruit@pepabo.com
ソニーデジタルネットワークアプリケーションズ株式会社,そにーでじたるねっとわーくあぷりけーしょんず,田中陽三,http://www.sonydna.com/,http://www.sonydna.com/sdna/support/index.html,9010701012532,2000年8月,-,未上場,100000000,7790000000,1,271,-,-,-,ウォークマンやテレビなどのソフトウェアの企画および開発を行う会社,IT業界の会社,システム開発業界の会社,IT業界の会社・人材業界の会社,システム受託開発業界の会社・その他業務請負業界の会社・Webサービス・アプリ運営業界の会社,クラウド開発・スマートフォンアプリ開発・組み込みシステム開発・セキュリティ診断,BtoB　BtoC,未計算,東京都品川区東五反田２丁目２１番２８号,141-0022,東京都,品川区東五反田２丁目２１番２８号,050-3750-1897,050-3750-1791,-,-
